artists,year,type,genre
휘인 (Whee In),2010,"Solo, Female","Ballad, Dance, R&B/Soul, Rock/Metal"
10cm,2010,"Solo, Male","Ballad, Dance, Indie, Rock/Metal, Folk/Blues"
5 Seconds Of Summer,2010,"Group, Male","POP, Rock/Metal, Electronica, Country, EDM"
2NE1,"2000, 2010","Group, Female","Ballad, Dance, Electronica, Rap/Hiphop, R&B/Soul"
2LSON,2010,"Group, Both","Ballad, Dance, R&B/Soul"
40,2010,"Solo, Male","Ballad, Dance, Indie, Rap/Hiphop, R&B/Soul"
(여자)아이들,2010,"Group, Female","Ballad, Dance, Rap/Hiphop, Rock/Metal, Electronica"
#안녕,2010,"Solo, Male","Ballad, Indie, Folk/Blues"
(지범)ZEEBOMB,2010,"Solo, Male","Indie, Rock/Metal, R&B/Soul, Folk"
#Gun,2010,"Solo, Male","Rap/Hiphop, R&B/Soul"
鄧倫,2010,"Solo, Male","World, Chinese"
AOA,2010,"Group, Female","Ballad, Dance, Electronica, Rap/Hiphop"
Ariana Grande (Ariana Grande-Butera),2010,"Solo, Female","POP, Electronica, Rap/Hiphop, R&B/Soul, Country, Classics, Crossover"
ASH ISLAND (윤진영),2010,"Solo, Male",Rap/Hiphop
Alan Walker,2010,"Solo, Male","POP, Electronica, Rap/Hiphop, EDM"
Adele (Adele Laurie Blue Adkins),"2000, 2010","Solo, Female","POP, Rock/Metal, Electronica, R&B/Soul, Classics, Crossover"
BRYN,2010,"Solo, Female","Rap/Hiphop, Indie"
BewhY (비와이),2010,"Solo, Male","Ballad, Dance, Rap/Hiphop, Indie"
BLACKPINK,2010,"Group, Female","Dance, POP, Rock/Metal, Rap/Hiphop, R&B/Soul, Folk"
BIGBANG,"2000, 2010","Group, Male","Ballad, Dance, Electronica, POP, Rock/Metal, Rap/Hiphop, R&B/Soul, Folk, J-POP"
Billie Eilish (빌리 아일리시),2010,"Solo, Female","POP, Rock/Metal, Electronica"
Crush (신효섭),2010,"Solo, Male","Ballad, Dance, Indie, POP, Rap/Hiphop, R&B/Soul"
Charlie Puth,2010,"Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul, EDM"
C JAMM,2010,"Solo, Male","Rap/Hiphop, Indie"
CLC,2010,"Group, Female","Ballad, Dance, Rap/Hiphop, R&B/Soul, Electronica"
Camila Cabello,2010,"Solo, Female","POP, Electronica, Rap/Hiphop, Country, EDM"
DEAN,2010,"Solo, Male",R&B/Soul
DPR LIVE (홍다빈),2010,"Solo, Male","Indie, Rap/Hiphop"
DAY6 (데이식스),2010,"Group, Male","Ballad, Dance, Rap/Hiphop, Rock/Metal"
Dok2 (이준경),"2000, 2010","Solo, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Indie, Rock/Metal, Electronica"
Drake (Aubrey Drake Graham),"2000, 2010","Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul, Country"
EXO,2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Electronica"
Ed Sheeran,"2000, 2010","Solo, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, Folk, Country, EDM"
E SENS,2010,"Solo, Male","Rap/Hiphop, Indie"
EK (도익환),2010,"Solo, Male","Rap/Hiphop, Indie"
